City,State,Station ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GAINESVILLE LOCK,AL,USC00013160,44.1,48.1,55.4,62.8,71.4,78.4,81.6,81.2,75.3,64.4,54.5,46.3
GENEVA #2,AL,USC00013251,48.2,51.9,58.5,64.6,72.8,78.9,80.9,80.4,76.2,66.7,57.9,50.4
GREENSBORO,AL,USC00013511,46.9,51.3,58,64.7,72.7,79.7,82.5,82.1,76.7,66.3,56.7,49.1
GREENVILLE,AL,USC00013519,45.5,49.2,55.7,62.5,70.6,76.8,79.3,79,74.4,64.7,55.6,47.5
GUNTERSVILLE,AL,USC00013573,41.1,44.6,52.4,60.4,69,76.6,80.1,79.9,73.6,62.7,52.5,43.4
GUNTERSVILLE NO.2,AL,USC00013575,40.8,44.8,52.9,61.1,69.3,76.7,80.1,79.8,73.9,63.4,52.7,43.9
HALEYVILLE,AL,USC00013620,42.5,46.3,54.7,62.7,70.7,77.7,81.2,81.1,74.9,64.4,54.3,45.1
HAMILTON 3 S,AL,USC00013645,39.3,43.3,51.2,59.1,67.8,75.4,79.1,78.8,72.3,60.8,50.7,41.8
HANCEVILLE,AL,USC00013655,41.4,44.7,52.8,60.6,68.6,75.8,79.3,78.7,72.4,61.8,52,42.8
HEADLAND,AL,USC00013761,48.5,52.4,59.4,65.9,74.3,80,81.8,80.9,76.5,67.3,58.7,50.8
HEFLIN,AL,USC00013775,40.9,44.6,52.2,59.3,67.4,74.7,78.1,77.6,71.4,60.9,51.5,43.1
HELENA,AL,USC00013781,43.9,47.7,55,62.7,70.9,77.9,81.2,80.7,74.9,63.7,54.1,45.8
HIGHLAND HOME,AL,USC00013816,43.6,47.3,54.3,60.8,69.2,75.5,77.9,77.7,72.8,63.2,54.1,45.9
JACKSON,AL,USC00014193,47,50.7,57.5,64.1,72,78.4,80.7,80.3,75.5,65.4,56.3,49.2
JASPER,AL,USC00014226,40.8,44.5,52.6,60,68.4,75.8,79.3,79.1,72.7,61.1,51.6,43.1
LAFAYETTE 2W,AL,USC00014502,42.5,46.5,53.6,60.6,68.6,75.6,78.8,78.1,72.2,62,52.7,44.4
LIVINGSTON,AL,USC00014798,44.4,48.4,55.5,62.7,71,77.9,80.7,80.4,74.8,63.6,54.5,46.5
MARION JUNCTION 2 NE,AL,USC00015121,44.3,48.2,55.7,62.7,71.2,78,80.8,80.1,74.8,64.3,54.7,46.4
MARTIN DAM,AL,USC00015140,44.7,47.8,54.5,61.2,69.3,76.4,79.5,78.8,73.8,63.8,54.6,46.6
MILSTEAD,AL,USC00015439,45.7,49.5,56.5,63,71.6,78.4,81.3,80.9,75.5,65.2,56.2,48.4
Montgomery,AL,USC00015553,46.3,50.5,57.1,63.7,71.8,78.3,80.9,80.6,75,64.7,56.2,48.4
MOULTON 2,AL,USC00015635,40.1,43.6,52.2,60.6,68.5,75.5,78.9,78.5,72.1,61.2,51.7,42.5
MUSCLE SHOALS 3 NE,AL,USC00015752,38.1,41.8,50.2,58.7,67.4,74.8,78.5,77.7,71.2,59.9,50.3,40.7
OAK MTN STATE PARK HQ,AL,USC00016000,43.1,46.9,54.9,61.8,69.9,76.7,79.9,79.2,73.6,61.7,54.2,44.8
ONEONTA,AL,USC00016121,41.3,45,52.7,60.2,68.5,75.7,79.3,78.9,72.6,61.6,52.3,43.7
OPELIKA,AL,USC00016129,43.5,47,53.9,60.6,69,75.9,79.2,78.6,73,62.7,53.8,45.8
OWENS CROSS ROADS 3S,AL,USC00016196,39.3,42.7,50.4,58.7,67,75.1,78.5,78.3,71.7,60.3,50.4,41.8
PINSON,AL,USC00016478,41.3,45.2,52.8,60.2,68.2,75.3,78.8,78.4,72.2,61.3,51.5,43.5
ROBERTSDALE,AL,USC00016988,49.5,52.7,59,65.1,73,79,81.1,80.9,76.6,67.4,58.9,51.7
ROCKFORD 3 ESE,AL,USC00017020,44.2,48,55.2,61.6,69.3,76.2,79,78.1,73.1,63.2,54,46.3
ROCK MILLS,AL,USC00017025,42.5,46.7,54.4,61.2,68.7,75.7,78.6,77.6,71.6,61.4,52.2,45
RUSSELLVILLE NO 2,AL,USC00017131,40,43.4,51.5,59.4,67.7,75.3,79,78.6,72.2,60.9,51.4,42.3
SAINT BERNARD,AL,USC00017157,40.3,44.8,52.7,60.7,68.4,75.2,78.7,78.6,72,60.7,50.8,42.5
SAND MT SUBSTN,AL,USC00017207,39.2,43.1,51,58.7,67,74.4,77.7,77.2,70.9,60.2,50.7,41.7
SCOTTSBORO,AL,USC00017304,39.8,43.7,51.3,59.2,67.7,75.6,78.8,78.4,71.7,60.7,50.9,42.3
SELMA,AL,USC00017366,46.4,50.2,57.1,63.7,72.3,79.1,81.7,81.3,76.2,65.9,56.2,48.2
SYLACAUGA 4 NE,AL,USC00017999,42.3,45.9,53.6,60.5,68.8,75.7,78.9,78.1,72.4,61.4,52.5,44.4
TALLADEGA,AL,USC00018024,41.7,45.6,52.7,60.5,68.5,75.6,79.3,78.6,72.7,61.7,52.5,44.1
THOMASVILLE,AL,USC00018178,46.3,50.2,57.5,64.1,72.2,78.4,80.8,80.6,75.6,65.7,56.7,48.3
THORSBY EXP STN,AL,USC00018209,44.7,48.5,55.7,62.8,71.1,77.9,80.7,80.2,74.8,64.6,55.4,46.8
TROY,AL,USC00018323,46.7,50.6,57.1,63.9,71.9,78.3,80.7,80.4,75.7,66.1,56.8,48.9
TUSCALOOSA ACFD,AL,USC00018380,45.6,49.8,57.4,64.4,72.5,79.3,82.4,82.1,76.5,65.6,55.9,47.8
UNION SPRINGS 9 S,AL,USC00018438,45.3,48.9,55.4,61.6,69.9,77,79.8,79.1,74,64,55,47.3
VALLEY HEAD,AL,USC00018469,38.4,42,49.3,57.1,65.9,73.9,77.6,77.1,70.6,59.5,49.9,40.8
VERNON,AL,USC00018517,41.9,46.2,54,60.9,69.3,76.7,80,79.7,73.4,62.4,53.4,44.6
WEST POINT,AL,USC00018812,40.8,44.7,52.5,60.1,68,74.4,78.4,77.7,71.9,61.2,51.5,42.9
WETUMPKA,AL,USC00018859,45.5,49.5,56.5,62.5,71,77.6,80.6,80.1,75.7,65.3,55.6,47.8
WHATLEY,AL,USC00018867,45.9,49.2,56.4,63.4,71.3,77.7,80,79.9,74.7,64.7,55.9,48.2
WINFIELD 2 SW,AL,USC00018998,39.6,43.3,51.4,58.9,67.6,75.1,78.5,78.1,71.9,60.6,51.1,42.3
AGUILA,AZ,USC00020060,49,51.2,56,62.5,71.5,79.9,86.1,85.3,78.6,66.9,55.5,47.8
AJO,AZ,USC00020080,56.6,59.1,64.7,71.3,79.3,87.2,91.3,90.5,86.5,76.6,65.2,56.1
ALAMO DAM,AZ,USC00020100,51.1,54.8,60.9,68.3,78,86.7,92.7,91.3,84.5,72.3,59.4,50.3
ALPINE,AZ,USC00020159,29.7,32.5,36.8,42.5,49.5,57,61.6,60.1,54.6,45.5,36.8,30.1
ALPINE 18 SW,AZ,USC00020170,32.3,33.5,36.7,42.3,51.3,57.7,61.6,59.8,55.3,47.1,38.5,31.1
ANVIL RCH,AZ,USC00020287,49.4,52.1,56.8,63.3,71.8,80.8,84.2,82.2,77.6,67,56.3,49.1
APACHE JUNCTION 5 NE,AZ,USC00020288,54.3,56.8,61.3,68,76.8,85.5,90.4,89.3,84.1,73.4,61.6,53.5
ARIZONA CITY,AZ,USC00020404,51.7,55.3,61.2,69.2,78,86.7,91.3,90,84.4,72.6,60,51
BAGDAD,AZ,USC00020586,43.2,44.9,49.7,56.2,65.2,74,79.6,78.1,72.3,61.4,50.7,42.6
BARTLETT DAM,AZ,USC00020632,54,57,61.4,67.9,77.2,85.4,90.9,90,84.3,74.4,62.5,54.7
BEAVER CREEK,AZ,USC00020670,43.1,46.7,51.8,59,67.7,76.9,81.2,79.3,73,61.4,50.5,42.2
BEAVER DAM,AZ,USC00020672,46.9,51,57.5,64.7,74.5,83.6,90.1,88.8,80.8,68.2,55,45.6
BELLEMONT WFO,AZ,USC00020678,27,29.2,34.5,39.7,48.2,55.2,61.1,61.8,54.1,44.2,33.9,27
BENSON 6 SE,AZ,USC00020683,45.3,48.2,53,60,68.4,77,80.4,78.4,74.1,63,52.2,45.1
BETATAKIN,AZ,USC00020750,30.8,33.8,40.2,47.6,57.6,67.5,72.2,69.9,63.3,51.7,39.7,31.1
BISBEE 1WNW,AZ,USC00020775,43.9,47,51.6,57.8,65.8,73.9,74.7,72.1,68.8,59.8,50.8,43.7
BLACK RIVER PUMPS,AZ,USC00020808,35.4,37.9,42.5,49.5,58.4,67.8,71.7,70,64.5,53.8,42.8,35.5
BLUE RIDGE RS,AZ,USC00020871,30.3,33.9,38.4,45.1,53.8,62,67.9,65.6,59.4,48.6,38.7,30.3
BOUSE,AZ,USC00020949,51.2,55.2,61.4,68.8,77.9,86.4,92.6,91.3,84,71,58.3,49.8
BOWIE,AZ,USC00020958,45.9,49.9,55.5,62.6,71,79.6,82,79.8,74.9,64.5,53,45.4
BRIGHT ANGEL RS,AZ,USC00021001,27.7,28.6,33.6,40.2,49,58,63.1,60.8,54.3,44.2,34.5,27.4
BUCKEYE,AZ,USC00021026,53.1,56.8,62.2,69.2,78.3,86.5,91.9,91,84.3,72.2,59.9,51.9
BULLHEAD CITY,AZ,USC00021050,55.2,58.9,64.9,72.5,82.1,90.5,96.2,95.1,87.7,75.3,62.8,54.2
CAMERON 1 NNE,AZ,USC00021169,37,42.5,50.9,58.3,67.5,76.5,82.6,80.2,72.2,59.8,46.3,36.9
CANELO 1 NW,AZ,USC00021231,43.4,45.9,50,56.4,64.4,72.6,74.8,72.6,68.8,59.9,50.2,43.4
CANYON DE CHELLY,AZ,USC00021248,31.3,36.8,44.7,52.2,61.5,70.3,76,73.8,65.8,53.3,41.1,31.7
CAREFREE,AZ,USC00021282,53.5,55.6,60.6,67.5,76.6,85.4,89.8,88.6,83.5,72.5,61,52.7
CASA GRANDE,AZ,USC00021306,53.6,56.9,62.3,69.6,78.4,86.9,91.6,90.2,84.6,73,60.9,52.4
CASA GRANDE NM,AZ,USC00021314,51.7,54.8,60.4,67.8,77.2,85.8,91,89.6,84,72,59.3,50.8
CASCABEL,AZ,USC00021330,47.4,49.9,54.1,60.6,68.9,77.7,81.8,80.5,75.2,64.8,53.9,46.6
CASTLE HOT SPRINGS,AZ,USC00021353,54.4,56.6,60.9,66.9,75.6,84.2,89.1,87.8,82.8,72.4,61.5,53.6
CATALINA SP,AZ,USC00021357,50.2,51.1,54.7,62.4,70.3,79.7,85,82.3,78,66.7,56,48.4
CHANDLER HEIGHTS,AZ,USC00021514,52.7,55.9,61.3,68.5,77.8,86.3,90.5,88.8,83.9,72.3,59.9,51.2
CHEVELON RS,AZ,USC00021574,31.1,33.8,39.3,46.1,54.9,63.6,69,66.3,60.2,49.9,39.1,30.8
CHILDS,AZ,USC00021614,46.1,49.7,54.1,60.4,69.3,78.2,84,82.4,75.9,64.8,53.4,45.2
CHINO VALLEY,AZ,USC00021654,39.1,42,47.4,54.5,63,71.4,76.9,75.6,68.6,57.5,45.4,37.8
CHIRICAHUA NM,AZ,USC00021664,44,46.5,50.8,56.9,64.9,73.5,74.7,73,70.1,61.5,51.4,44.3
CLIFTON,AZ,USC00021849,47,51.5,57.8,65.1,74.7,83.7,86.5,84.3,78.9,67.9,55.4,46.5
COLORADO CITY,AZ,USC00021920,34.7,38.7,44.4,51.4,60.3,69.9,76,74.2,67.1,55.3,43.2,34.1
CORDES,AZ,USC00022109,46.2,48,52,57.9,66.5,75.3,80.9,79.6,73.8,63.5,52.8,45.6
CORONADO NM HQ,AZ,USC00022140,45.4,48,52.6,59.2,67.2,75.1,75.7,73.3,70.5,62,52.5,45.5
CROWN KING,AZ,USC00022329,38.5,40.2,44.7,51.1,59.6,68.2,73,70.5,65.4,55.5,44.5,38.5
DATELAND WHITEWING RCH,AZ,USC00022434,54.8,58.1,62.8,68.9,76.4,84.4,90.5,90.5,85.1,73.1,61.8,53.6
DIAMOND M RANCH,AZ,USC00022527,37,39.2,43.1,48.5,58.2,66.8,72.7,71.5,65.3,54.1,43.6,36.2
DOUGLAS,AZ,USC00022659,48.3,52.1,56.7,63.2,71.3,79.3,81.4,79.3,75.5,66.2,55.3,48.2
DUNCAN,AZ,USC00022754,42.8,46.7,52.2,59.2,68.1,77,81.3,79.5,73.4,62,49.9,42
EAST MESA,AZ,USC00022782,54.3,56.5,62,69.1,78.4,86.8,91.5,90.4,85.2,73.3,61.2,52.5
EHRENBERG 2 E,AZ,USC00022790,55.7,59.4,65.1,72.1,80.8,89.5,94.9,94.1,87.9,75.9,63.3,54.1
ELOY 4 NE,AZ,USC00022807,52.8,55.9,61.3,68.5,76.9,85.6,90,88.5,83.2,72.2,59.9,51.7
Flagstaff,AZ,USC00023009,27,29.6,34.8,41.4,48.6,56.2,63.2,62,55.1,44.9,34.8,27.4
FLORENCE,AZ,USC00023027,54.6,57.2,62.6,69.1,77.7,86.2,90.8,89.6,84.6,73.3,61.5,53.4
FT GRANT,AZ,USC00023110,44,46.4,53.6,59.9,68.9,77.5,77.6,76.5,74,63.1,54,44.3
FT THOMAS 2 SW,AZ,USC00023150,44.7,49,54.4,62.1,71.1,79.9,84,82.1,76.5,65.1,52.4,43.9
FT VALLEY,AZ,USC00023160,27.1,29.4,34.1,40,47.8,56.1,61.9,60.4,54,43.7,34.1,26.8
FOUNTAIN HILLS,AZ,USC00023190,53.5,56.2,61.5,68.7,78,86.3,90.8,90.3,85.1,73.9,61.5,52.7
FREDONIA,AZ,USC00023250,33.8,38.6,43.8,51.5,58.6,68,75.2,73,65.3,53.3,42.1,32.7
GANADO,AZ,USC00023303,30.9,34.3,41.1,47.9,56.9,66.1,72.2,70.6,63.4,51.6,39.3,30.7
GILA BEND,AZ,USC00023393,55.5,58.9,64.4,71.4,80.1,88.6,94.2,93.4,87.7,75.4,63,54.4
GLOBE,AZ,USC00023505,44.3,47.3,53,59.5,67.9,77.1,81.5,79.4,74.1,63.8,51.8,43.7
GRAND CANYON NP 2,AZ,USC00023596,31.5,33.6,38.9,45.2,53.9,62.5,68,66.1,59.9,48.9,38.8,31.5
GREEN VALLEY,AZ,USC00023668,51.8,53.9,59.1,66.3,75.1,83.5,85.9,83.6,80.6,70.2,58.4,51.1
GREER,AZ,USC00023683,27.6,29.8,34.2,40.9,49.3,57.4,60.9,59,54,44.9,35.1,28
HAPPY JACK RS,AZ,USC00023828,29.3,30.5,35,41.5,50.2,58.5,64.3,62.2,56.3,46.3,36.5,28.8
HEBER BLACK MESA RS,AZ,USC00023961,33.1,36.5,41.1,47.8,56.4,64.1,69,67.4,61.4,51.2,40.8,33.3
HILLSIDE 4 NNE,AZ,USC00024053,43.6,46.2,50,56.1,63.8,71.9,79.7,78.6,71.5,59.7,49.3,42.5
HOLBROOK,AZ,USC00024089,34.9,39.9,46.2,53.5,62.7,71.2,77.1,75,67.9,56.3,44,34.9
JEROME,AZ,USC00024453,42.5,44.9,50.1,57.5,66.9,76.4,79.8,77.3,72,61.6,49.9,42.1
KEAMS CANYON,AZ,USC00024586,31.4,35.4,41.6,48.7,57.1,66.2,72.3,70.5,63.4,52,41.2,31.2
